variable,count,min,p01_approx,p05_approx,median_approx,mean,std,p95_approx,p99_approx,max,nan_count,inf_count
elapsed_s,3030927,0.000368,252.36739416,1273.76906275,12667.668279,12628.8665866,7291.27876372,24012.6308227,25006.1361318,25257.719151,0,0
activity,3030927,0.119203,0.119203,0.119203,0.119203,0.188360341035,0.212167217916,0.914901,0.998499,0.999965,0,0
irregularity,3030927,0,0,0,0,0.0994890183079,0.277327405559,1,1,1,0,0
tempo,3030927,0,0,0,0,0.0849104333763,0.234401643403,0.769038,0.776923,0.785812,0,0
idle,3030927,3e-06,0.000633,0.00565855,1,0.827548179633,0.356719145091,1,1,1,0,0
q,3030927,-0.339627,-0.01026559,0.090824,0.106224,0.160723690322,0.189297046557,0.72413245,0.96957161,1.414953,0,0
p,3030927,-0.693242,-0.31882891,-0.06240535,0,9.54354347696e-05,0.0806210314179,0.05984915,0.33664395,0.832374,0,0
s,3030927,-0.45,-0.45,-0.45,-0.45,-0.372867601322,0.135221754463,-0.07455515,-0.01444724,0.04247,0,0
energy,3030927,0,0.003767,0.00476,0.005378,0.0382985991329,0.114057793889,0.3284211,0.58601922,1.133435,0,0
stiffness,3030927,0.9525,0.9525,0.9525,0.9525,0.994922817146,0.0743719665404,1.1589941,1.19205449,1.223358,0,0
damping,3030927,0.340002,0.340538,0.3448099,1.19,1.04341595275,0.30321127318,1.19,1.19,1.19,0,0
force,3030927,0.101322,0.101322,0.101322,0.101322,0.171821358457,0.216232077745,0.89629595,1.014675,1.019793,0,0
